source_id,name,ra,dec,distance,spectral_type,magnitude
GAIA-DR3-660597997697274752,"GAIA DR3 660597997697274752",134.55869151,19.76257888,16.6184,M7V,12.49
GAIA-DR3-4468557611977674496,"GAIA DR3 4468557611977674496",271.36591161,2.49419876,16.6529,K5V,5.54
GAIA-DR3-4468557611984384512,"GAIA DR3 4468557611984384512",271.36445382,2.49522410,16.6775,G5V,3.99
GAIA-DR3-660597997696173440,"GAIA DR3 660597997696173440",134.55918968,19.76295984,16.7997,M5V,11.97
GAIA-DR3-3316364602541746048,"GAIA DR3 3316364602541746048",90.01597644,2.70637408,16.9861,M2V,9.90
GAIA-DR3-1129149723913123456,"GAIA DR3 1129149723913123456",176.93940798,78.69329745,17.1368,M9V,9.55
GAIA-DR3-5985290231327158144,"GAIA DR3 5985290231327158144",235.19517746,-51.02810131,17.3738,M9V,12.74
GAIA-DR3-3187115498866675456,"GAIA DR3 3187115498866675456",75.48680521,-6.94858741,17.5309,M6V,10.65
GAIA-DR3-3741297293732404352,"GAIA DR3 3741297293732404352",206.44056584,14.88505270,17.7263,M3V,7.61
GAIA-DR3-470826482637310848,"GAIA DR3 470826482637310848",67.81389197,58.96948121,17.9926,A8V,12.34
GAIA-DR3-470826482637310080,"GAIA DR3 470826482637310080",67.80919063,58.96797997,17.9955,M1V,9.70
GAIA-DR3-939072613334579328,"GAIA DR3 939072613334579328",103.70012923,33.26640802,18.2146,M9V,8.86
GAIA-DR3-6882963066420161664,"GAIA DR3 6882963066420161664",313.13613276,-16.97455847,18.3305,M1V,10.08
GAIA-DR3-2091177593123254016,"GAIA DR3 2091177593123254016",278.90744885,32.99478716,18.5535,M1IV,14.85
GAIA-DR3-3209938366665770752,"GAIA DR3 3209938366665770752",82.86754111,-3.68652760,18.6042,M1V,7.11
GAIA-DR3-2940856402123426176,"GAIA DR3 2940856402123426176",92.64357908,-21.86782311,18.7906,M2V,7.31
GAIA-DR3-2261614264931057664,"GAIA DR3 2261614264931057664",293.09759805,69.65345106,18.7993,K8V,4.45
GAIA-DR3-3340477717172813568,"GAIA DR3 3340477717172813568",85.54770759,12.48235992,18.8883,M0V,10.11
GAIA-DR3-6232511606838403968,"GAIA DR3 6232511606838403968",224.37159427,-21.42314040,19.1988,K3V,5.36
GAIA-DR3-5918660719983560192,"GAIA DR3 5918660719983560192",266.63344447,-57.32506180,19.2078,M9V,9.59
GAIA-DR3-6663600360560306560,"GAIA DR3 6663600360560306560",290.20411627,-45.57110617,19.2724,M0IV,10.75
GAIA-DR3-2739689239311660672,"GAIA DR3 2739689239311660672",357.30660382,2.39691794,19.2745,M7V,8.15
GAIA-DR3-4293318823182081408,"GAIA DR3 4293318823182081408",289.22765150,5.16297630,19.2922,M1IV,8.10
GAIA-DR3-6002807341299977216,"GAIA DR3 6002807341299977216",233.04692742,-41.28017409,19.2996,M4V,8.27
GAIA-DR3-4293315765165489536,"GAIA DR3 4293315765165489536",289.23737370,5.14437332,19.3045,M1IV,14.30
GAIA-DR3-425040000962559616,"GAIA DR3 425040000962559616",12.28522738,57.81272813,19.3184,G5V,3.32
GAIA-DR3-425040000962497792,"GAIA DR3 425040000962497792",12.28118476,57.81573919,19.3314,K2V,6.76
GAIA-DR3-4109030160308317312,"GAIA DR3 4109030160308317312",258.83511696,-26.60789783,19.3991,K3V,4.83
GAIA-DR3-4109030160308320128,"GAIA DR3 4109030160308320128",258.83412018,-26.60680662,19.4137,K3V,4.83
GAIA-DR3-4109034455276324608,"GAIA DR3 4109034455276324608",259.05329410,-26.55114609,19.4185,K8V,5.89
GAIA-DR3-3136952686035250688,"GAIA DR3 3136952686035250688",116.16583593,3.55048445,19.5330,M8IV,9.69
GAIA-DR3-6697578465310949376,"GAIA DR3 6697578465310949376",302.80226904,-36.10821654,19.6093,G1IV,5.03
GAIA-DR3-4847957293278177024,"GAIA DR3 4847957293278177024",50.00034362,-43.06655253,19.7045,G2IV,4.06
GAIA-DR3-946632924007399936,"GAIA DR3 946632924007399936",107.50514340,38.52526942,19.7414,M6V,9.93
